time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130408:0900,19.23,15.53,733,695.38,220,288.82,6.78,208,100294
20130408:1000,20.77,14.03,857,731.87,240,296.03,6.99,211,100231
20130408:1100,22.3,12.53,936,793.91,225,303.25,7.2,215,100169
20130408:1200,23.18,12.27,921,761.45,242,305.62,7.07,216,100103
20130408:1300,24.07,12,829,685.3,259,307.98,6.93,217,100037
20130408:1400,24.95,11.74,712,689.12,216,310.35,6.8,219,99972
20130408:1500,24.13,12.54,513,550.26,203,307.97,6.31,211,99952
20130408:1600,23.3,13.33,314,468.87,139,305.58,5.82,204,99932
20130408:1700,22.48,14.13,102,234.09,64,303.2,5.32,196,99913
20130408:1800,21.4,15.05,0,0,0,302.45,5.88,195,99962
20130408:1900,20.32,15.96,0,0,0,301.7,6.44,194,100011
20130408:2000,19.23,16.88,0,0,0,300.95,6.99,192,100060
